amfi_code,scheme_name,max_drawdown_pct,worst_date
100016,HDFC Top 100 Fund - Regular Plan - Growth,-24.73,2022-09-15
100025,HDFC Short Term Debt Fund - Regular - Growth,-4.31,2023-07-28
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,-16.22,2022-05-12
101206,ABSL Frontline Equity Fund - Regular - Growth,-11.29,2023-07-05
101207,ABSL Small Cap Fund - Regular - Growth,-35.45,2026-05-11
101208,ABSL Liquid Fund - Regular - Growth,-0.16,2023-09-12
102885,UTI Nifty 50 Index Fund - Regular - Growth,-10.86,2022-03-29
102886,UTI Mid Cap Fund - Regular - Growth,-28.0,2026-04-27
102887,UTI Flexi Cap Fund - Regular - Growth,-21.54,2022-07-04
118632,Nippon India Large Cap Fund - Regular - Growth,-17.41,2024-07-19
118633,Nippon India Large Cap Fund - Direct - Growth,-18.63,2024-02-29
118634,Nippon India Small Cap Fund - Regular - Growth,-23.34,2026-02-20
118635,Nippon India ETF Nifty 50 BeES,-11.65,2022-06-09
118636,Nippon India Gilt Securities Fund - Regular - Growth,-8.32,2024-02-09
119092,Axis Bluechip Fund - Regular - Growth,-14.4,2025-02-07
119093,Axis Bluechip Fund - Direct - Growth,-21.75,2023-05-22
119094,Axis Midcap Fund - Regular - Growth,-20.96,2022-08-11
119095,Axis Small Cap Fund - Regular - Growth,-51.68,2026-05-11
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-4.33,2025-04-01
119551,SBI Bluechip Fund - Regular Plan - Growth,-15.01,2024-02-05
119552,SBI Bluechip Fund - Direct Plan - Growth,-11.8,2024-09-02
119598,SBI Small Cap Fund - Regular Plan - Growth,-28.71,2025-05-14
119599,SBI Small Cap Fund - Direct Plan - Growth,-52.57,2025-10-28
120503,ICICI Pru Bluechip Fund - Regular - Growth,-13.9,2023-11-09
120504,ICICI Pru Bluechip Fund - Direct - Growth,-12.59,2023-05-30
120505,ICICI Pru Midcap Fund - Regular - Growth,-18.19,2025-01-23
120506,ICICI Pru Value Discovery Fund - Regular - Growth,-19.83,2023-08-14
120507,ICICI Pru Liquid Fund - Regular - Growth,-0.1,2025-10-20
120841,Kotak Bluechip Fund - Regular - Growth,-17.57,2025-02-14
120842,Kotak Emerging Equity Fund - Regular - Growth,-24.0,2024-10-17
120843,Kotak Flexicap Fund - Regular - Growth,-12.97,2022-04-13
120844,Kotak Liquid Fund - Regular - Growth,-0.12,2024-04-30
125497,HDFC Top 100 Fund - Direct Plan - Growth,-15.2,2025-01-01
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,-21.12,2025-09-12
148567,Mirae Asset Large Cap Fund - Regular - Growth,-11.27,2023-10-20
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-15.27,2024-01-24
148569,Mirae Asset Tax Saver Fund - Regular - Growth,-16.4,2023-10-20
149322,DSP Top 100 Equity Fund - Regular - Growth,-14.84,2022-02-04
149323,DSP Midcap Fund - Regular - Growth,-17.25,2022-10-24
149324,DSP Small Cap Fund - Regular - Growth,-31.17,2025-01-03
